Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.78	0.64	2					"Bush-Kerry/bad, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.92	0.85	2					"Female-male/self, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.91	0.84	2					"Female-male/self, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.82	0.7	2					"Male-female/other, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	IC	67	0.67	0.5	2					"Male-female/other, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	TRR	67	0.32				same session			Kerry-Bush/good	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	TRR	67	0.26				same session			Bush-Kerry/bad	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	TRR	67	0.68				same session			Female-male/self	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	2	1	BIAT	TRR	67	0.35				same session			Male-female/other	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.66	0.49	2					"Female-male/self, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.84	0.73	2					"Female-male/self, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.86	0.76	2					"Asian-American/self, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.68	0.52	2					"Asian-American/self, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.88	0.79	2					"Kerry-Bush/good, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.84	0.72	2					"Kerry-Bush/good, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.83	0.71	2					"Coke-Pepsi/pleasant, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.85	0.74	2					"Coke-Pepsi/pleasant, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.7	0.54	2					"African American-European American/weapons, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.68	0.52	2					"African American-European American/weapons, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.81	0.68	2					"Male-female/science, T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	IC	149	0.68	0.51	2					"Male-female/science, T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.67				same session			Female-male/self	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.39				same session			Asian-American/self	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.56				same session			Kerry-Bush/good	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.38				same session			Coke-Pepsi/pleasant	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.2				same session			African American-European American/weapons	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	3	1	BIAT	TRR	149	0.24				same session			Male-female/science	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.87	0.77	2					"Bird–mammal/small–(large), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.77	0.62	2					"Bird–mammal/small–(large), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.87	0.77	2					"Mammal–bird/large–(small), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.67	0.5	2					"Mammal–bird/large–(small), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.8	0.66	2					"Young–old/able–(disabled), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.62	0.45	2					"Young–old/able–(disabled), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.78	0.64	2					"Old–young/disabled–(able), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.77	0.63	2					"Old–young/disabled–(able), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.79	0.65	2					"Male–female/math–(arts), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.81	0.68	2					"Male–female/math–(arts), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.83	0.71	2					"Female–male/arts–(math), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.72	0.56	2					"Female–male/arts–(math), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.8	0.66	2					"Black–White/weapons–(gadgets), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.77	0.62	2					"Black–White/weapons–(gadgets), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.76	0.61	2					"White–Black/gadgets–(weapons), T1"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	IC	90	0.55	0.38	2					"White–Black/gadgets–(weapons), T2"	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.31				same session			Bird–mammal/small–(large)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.17				same session			Mammal–bird/large–(small)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.27				same session			Young–old/able–(disabled)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.35				same session			Old–young/disabled–(able)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.33				same session			Male–female/math–(arts)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.17				same session			Female–male/arts–(math)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.32				same session			Black–White/weapons–(gadgets)	Yes	OrigPub
"Sriram, N., & Greenwald, A. G. (2009). The brief implicit association test. Experimental Psychology, 56, 283–294."	4	1	BIAT	TRR	90	0.36				same session			White–Black/gadgets–(weapons)	Yes	OrigPub
"Leeman, R. F., Nogueira, C., Wiers, R. W., Cousijn, J., Serafini, K., DeMartini, K. S., … O’Malley, S. S. (2018). A Test of Multisession Automatic Action Tendency Retraining to Reduce Alcohol Consumption Among Young Adults in the Context of a Human Laboratory Paradigm. Alcoholism: Clinical and Experimental Research, 42, 803–814."	1	1	AAT	IC	68	0.89	0.8	2					T1	Yes	Search
"Leeman, R. F., Nogueira, C., Wiers, R. W., Cousijn, J., Serafini, K., DeMartini, K. S., … O’Malley, S. S. (2018). A Test of Multisession Automatic Action Tendency Retraining to Reduce Alcohol Consumption Among Young Adults in the Context of a Human Laboratory Paradigm. Alcoholism: Clinical and Experimental Research, 42, 803–814."	1	1	AAT	IC	68	0.92	0.86	2					T2	Yes	Search
"Leeman, R. F., Nogueira, C., Wiers, R. W., Cousijn, J., Serafini, K., DeMartini, K. S., … O’Malley, S. S. (2018). A Test of Multisession Automatic Action Tendency Retraining to Reduce Alcohol Consumption Among Young Adults in the Context of a Human Laboratory Paradigm. Alcoholism: Clinical and Experimental Research, 42, 803–814."	1	1	AAT	TRR	68	0.04				10-15 days 				Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	IAT	IC	78	0.87		5					T1	Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	IAT	IC	78	0.89		5					T2	Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	Evaluative Priming	IC	78	0.87		5					T1	Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	Evaluative Priming	IC	78	0.18		5					T2	Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	IAT	TRR	78	0.4				4-8 days 				Yes	Search
"Spruyt, A., Lemaigre, V., Salhi, B., Van Gucht, D., Tibboel, H., Van Bockstaele, B., … Nackaerts, K. (2015). Implicit attitudes towards smoking predict long-term relapse in abstinent smokers. Psychopharmacology, 232, 2551–2561."	1	1	Evaluative Priming	TRR	78	-0.25				4-8 days 				Yes	Search
"Rothermund, K., Teige-Mocigemba, S., Gast, A., & Wentura, D. (2009). Minimizing the influence of recoding in the Implicit Association Test: The Recoding-Free Implicit Association Test (IAT-RF). The Quarterly Journal of Experimental Psychology, 62, 84–98."	1	1	IAT	IC	16	0.89	0.8	2						Yes	OrigPub
"Rothermund, K., Teige-Mocigemba, S., Gast, A., & Wentura, D. (2009). Minimizing the influence of recoding in the Implicit Association Test: The Recoding-Free Implicit Association Test (IAT-RF). The Quarterly Journal of Experimental Psychology, 62, 84–98."	1	2	IAT-RF	IC	39	0.77	0.63	2						Yes	OrigPub
"Rothermund, K., Teige-Mocigemba, S., Gast, A., & Wentura, D. (2009). Minimizing the influence of recoding in the Implicit Association Test: The Recoding-Free Implicit Association Test (IAT-RF). The Quarterly Journal of Experimental Psychology, 62, 84–98."	2	3	IAT-RF	IC	17	0.75	0.6	2					valence-consistent. Excluded IAT since it is not in line with its measurement best practices.	Yes	OrigPub
"Rothermund, K., Teige-Mocigemba, S., Gast, A., & Wentura, D. (2009). Minimizing the influence of recoding in the Implicit Association Test: The Recoding-Free Implicit Association Test (IAT-RF). The Quarterly Journal of Experimental Psychology, 62, 84–98."	2	4	IAT-RF	IC	17	0.73	0.57	2					valence-inconsistent. Excluded IAT since it is not in line with its measurement best practices.	Yes	OrigPub
